Month,VENDOR CODE,Vendor Name,Sales,Txn Count,ABS Shipping Variance,Avg Order Handling time,Pre-fulfillment Cancellation,Pricing Mismatch,Non-AMZ.com Sales,YTD Sales,YTD Purchase Cost,YTD Sales Return,YTD CM,Shipping Type,Total Active SKU,SKU with VV in BuyBox,YTD Sales Target,YTD CM Target,Credit Terms,Accepts Sales Returns,Exclusive Sales,Gross Margin %,BuyBox Win Rate %,Avg Order Handing Time,Pre-fulfillment Cancellations %,Credit Terms Final,Pricing Mismatch %,Returns Terms Final,Shipping provided by Vendor (SPV) Final,Abs Shipping Variance / Sales %,Exclusive SKU Sales / Total Sales %,Contribution Margin Bridge Gap %,Sales Return Rate %,% of Non Amazon.com Sales,Gross Margin Score,BuyBox Win Rate Score,Operational Performance - Handling Time,Operational Performance - Pre-fulfillment cancellations,Operational Performance - Credit Terms,Operational Performance - Pricing Update Errors,Operational Performance - Accepts Returns,Operational Performance - Vendor-account shipping,Operational Performance - Shipping cost variance,Operational Performance - Exclusivity,Operational Performance Total,Contribution Margin Bridge Gap,Sales Return Rate Score,Non-Amazon.com Sales Score,TOTAL SCORE
Aug-24,SIGM,Sigma Distributors Inc,1301,32,17,4.66,0,1,922,27482,13373,2505,1813,VV,156,7,105000,8400,FALSE,TRUE,0,51.34,4.49,4.66,0,No Credit,3.13,Yes,FALSE,1.34,0,21.58,9.12,70.84,12,0,0,3,0,3,3,0,2,0,11,0,1,10,34
Aug-24,CADC,Cadco Ltd./BK Mfg.,1301,8,78,1.59,0,7,860,29241,20323,1298,1560,VV,5,1,105000,8400,FALSE,TRUE,0,30.5,20,1.59,0,No Credit,87.5,Yes,FALSE,5.99,0,18.58,4.44,66.09,0,11,2,3,0,0,3,0,0,0,8,0,7,10,36
Aug-24,GLHF,Greenland Home Fashions,1289,13,23,3.22,0,13,950,14236,8541,1134,1227,VV,90,0,105000,8400,FALSE,TRUE,0,40.01,0,3.22,0,No Credit,100,Yes,FALSE,1.81,0,14.6,7.97,73.75,4,0,0,3,0,0,3,0,1,0,7,0,3,10,24
Aug-24,TIME,Pyramid Time Systems,1276,5,33,2.05,0,0,0,36272,25406,278,1130,VV,3,2,105000,8400,FALSE,TRUE,0,29.96,66.67,2.05,0,No Credit,0,Yes,FALSE,2.59,0,13.45,0.77,0,0,15,1,3,0,3,3,0,0,0,11,0,10,0,35
Aug-24,ANGL,Angeles Corporation,1276,7,13,3.89,0,1,0,7728,5276,0,420,VV,0,0,105000,8400,FALSE,TRUE,0,31.73,0,3.89,0,No Credit,14.29,Yes,FALSE,1.05,0,5,0,0,0,8,0,3,0,1,3,0,2,0,10,0,10,0,27
Aug-24,STOC,Storex Canada,1229,11,0,4.98,0,11,1229,2898,2438,122,77,SPV,0,0,105000,8400,FALSE,TRUE,0,15.88,0,4.98,0,No Credit,100,Yes,TRUE,0.01,0,0.92,4.22,100,0,8,0,3,0,0,3,3,3,0,12,0,7,10,37
Aug-24,CICO,C&I Collectables,1224,32,108,0.78,3,0,810,8510,3517,404,703,VV,106,93,105000,8400,FALSE,TRUE,0,58.68,87.74,0.78,9.38,No Credit,0,Yes,FALSE,8.84,0,8.36,4.75,66.17,15,15,3,1,0,3,3,0,0,0,10,0,7,10,57
Aug-24,GVIC,GARY VALENTI INC.,1214,4,20,0.01,0,4,1214,3591,2593,1497,197,VV,1,0,105000,8400,FALSE,TRUE,0,27.79,0,0.01,0,No Credit,100,Yes,FALSE,1.61,0,2.34,41.68,100,0,0,3,3,0,0,3,0,2,0,11,0,0,10,21
Aug-24,OCIE,Overseas Connectios Inc,1177,12,98,1.42,2,3,677,3494,1482,335,686,VV,14,3,105000,8400,FALSE,TRUE,0,57.6,21.43,1.42,16.67,No Credit,25,Yes,FALSE,8.29,0,8.17,9.57,57.55,15,12,2,0,0,0,3,0,0,0,5,0,1,10,43
Aug-24,ANEC,A&E CAGE CO,1175,7,27,1.33,0,7,0,12861,7214,1893,1462,VV,7,2,105000,8400,FALSE,TRUE,0,43.9,28.57,1.33,0,No Credit,100,Yes,FALSE,2.27,0,17.4,14.72,0,7,15,3,3,0,0,3,0,1,0,9,0,0,0,32
Aug-24,GOSA,Golden State Art,1169,29,72,3.52,0,29,688,16672,8244,2044,-1341,VV,10,10,105000,8400,FALSE,TRUE,0,50.55,100,3.52,0,No Credit,100,Yes,FALSE,6.13,0,-15.97,12.26,58.89,12,15,0,3,0,0,3,0,0,0,6,0,0,10,43
Aug-24,SUTY,Sunny Toys Inc,1159,27,135,0.16,0,2,698,7378,2892,302,683,VV,31,19,105000,8400,FALSE,TRUE,0,60.8,61.29,0.16,0,No Credit,7.41,Yes,FALSE,11.63,0,8.13,4.1,60.23,15,15,3,3,0,2,3,0,0,0,11,0,7,10,58
Aug-24,SOUT,Southern Enterprises Inc,1135,7,51,1.46,0,6,739,11041,7219,1214,540,VV,30,0,105000,8400,FALSE,TRUE,0,34.62,0,1.46,0,No Credit,85.71,Yes,FALSE,4.49,0,6.43,11,65.05,0,0,2,3,0,0,3,0,0,0,8,0,0,10,18
Aug-24,AQUA,EXCEL SPORTS SCIENCE,1129,21,222,0.71,0,12,596,20199,10305,1005,1669,VV,2,1,105000,8400,FALSE,TRUE,0,48.98,50,0.71,0,No Credit,57.14,Yes,FALSE,19.68,0,19.87,4.98,52.75,10,15,3,3,0,0,3,0,0,0,9,0,6,10,50
Aug-24,ALLT,All Things Cedar Inc ( CANADA),1114,2,98,1.88,0,2,1114,9487,5842,0,-12,VV,6,0,105000,8400,FALSE,TRUE,0,38.42,0,1.88,0,No Credit,100,Yes,FALSE,8.82,0,-0.14,0,100,3,0,2,3,0,0,3,0,0,0,8,0,10,10,31
